Opportunity ID,Opportunity Number,Title,Agency,Post Date,Deadline,Est. NOFO Date,Est. Application Deadline,Est. # of Awards,Est. Total Funding,Award Ceiling,Award Floor,URL,Assistance Listings,Funding Instrument Type,Contact,Additional Info URL,Additional Information on Eligibility,Description,Status,Last Updated,Update Type
9bd80298-4f43-40e6-890d-64fed9ef6d41,26-512,Unlocking Dataset Value for AI-Enabled Scientific Discovery (AI Datasets),NSF,2026-07-21,2026-11-04,,,50,100000000,,,https://simpler.grants.gov/opportunity/9bd80298-4f43-40e6-890d-64fed9ef6d41,"47.074|Biological Sciences | 47.050|Geosciences | 47.070|Computer and Information Science and Engineering | 47.041|Engineering | 47.084|NSF Technology, Innovation, and Partnerships | 47.049|Mathematical and Physical Sciences",grant,grantsgovsupport@nsf.gov,http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf26512,,"This program will advance scientific community datasets to enable scientific discovery and innovation using artificial intelligence (AI) and other methods. Its goal is to increase the value that can be derived from existing scientific datasets by leveraging novel methods and artificial intelligence (AI). This will unlock new AI-driven insights. It can enable interdisciplinary research. It also enables investigations outside of the original motivation for data collection and analysis. The program seeks to 1) apply AI-based capabilities to feature extraction and metadata generation, and the integration of multiple datasets. 2) Develop robust data pipelines necessary for automated analysis of existing datasets and similar use-cases by AI tools and systems. 3) Augment and/or harmonize existing datasets to better enable use by AI data pipelines and automated analysis. Proposals should address dataset security and integrity. Governance and the process for scientific communities to contribute to the datasets should also be addressed. Proposals are encouraged to leverage existing resources. These may include NSF data platforms, the NSF Integrated Data Systems and Services program, the NSF-led National AI Research Resource, the Genesis Mission platform, or other national infrastructure. NSF is open to exploring partnerships with philanthropy, private industry, or the non-profit sector to support additional proposals or collaborative opportunities that will advance AI-driven scientific discovery through unlocking the value of high-impact scientific datasets. Expanding Participation in STEM, NSF Priorities, and Gold Standard Science: NSF prioritizes cutting-edge discovery science and engineering research, advancing technology and innovation, and creating opportunities for all Americans. NSF has established priorities set forth by Congress, the administration and the NSF director to promote NSF's mission. Proposers should review the list of NSF priorities and are encouraged to align their proposals with them, where appropriate. NSF also expects the highest standards of scientific rigor, integrity and adherence tenets of Gold Standard Science in proposals, as appropriate for the field of science and research modality.",posted,2026-08-01,
0313d641-27b6-42aa-95b7-42d26ddf7a40,21-588,EDU Core Research,NSF,2026-05-15,2026-10-01,,,,35000000,2500000,500000,https://simpler.grants.gov/opportunity/0313d641-27b6-42aa-95b7-42d26ddf7a40,47.076|STEM Education (formerly Education and Human Resources),grant,grantsgovsupport@nsf.gov,http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf21588,,"The EDU Core Research (ECR) program offers this ECR:Core solicitation and invites proposals for fundamental research (curiosity-driven basic research and use-inspired basic research) that contributes to the general, explanatory knowledge that underlies STEM education in one or more of the three broadly conceived Research Areas: Research onSTEM Learning and Learning Environments, Research on Broadening Participation in STEM fields, andResearch on STEM Workforce Development. Within this framework, the ECR program supports a wide range of fundamental STEM education research activities, aimed at learners of all groups and ages in formal and informal settings. Fundamental researchgenerates knowledge and understanding with the potential for broad relevance. The potential implications of ECR fundamental research for improving STEM education practice may be indirect and long-term rather than direct and immediate. Moreover, whether they include basic or use-inspired basic research, all successful ECR:Core proposals focus on the advancement or refinement of foundational knowledge for STEM education. The amount of funding and duration requested in proposals submitted to the ECR:Core solicitation should align with the maturity of the proposed work and the size and scope of the empirical effort. The solicitation has three levels of funding with a range of budget sizes, and proposals may request a duration of 3 to 5 years for any level: (1)Level I proposals may request up to $500,000; (2)Level II proposals may request up to $1,500,000; (3)Level III proposalsmay request up to $2,500,000. All proposals should justify the level of funding and duration in the project description.",posted,2026-05-16,
b14f024d-b4ee-4c78-b599-18a3c69c0e00,PD-26-369Y,Engineering Biological and Biomedical Systems (EBBS),NSF,2026-04-24,,,,,,,,https://simpler.grants.gov/opportunity/b14f024d-b4ee-4c78-b599-18a3c69c0e00,47.041|Engineering,grant,grantsgovsupport@nsf.gov,http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=506548,,"The Engineering Biological and Biomedical Systems (EBBS) program expands our understanding of biological and physiological systems, and it helps improve human health. For U.S. leadership in biotechnology, the engineering of biology is required at every scale. Engineering is needed for sensing biomarkers to making proteins to restoring functions of the body. In EBBS, fundamental mechanistic insights are combined with experimental and computational techniques. This approach helps develop platforms, devices, organisms, tissues, and processes that bring new understanding and control of biological functions. EBBS supports studies of mechanisms that drive the behavior of microbial populations and cells, and of therapeutic cells and tissues. This includes discovering the underlying engineering principles that are needed to capture the responses of biological systems and bioreactors. It also includes the creation of novel biosensing platforms and new optical imaging and modulation strategies. Research that enables the design of biological systems to sense and respond to novel stimuli is welcome. Similarly, projects leading to insight into tissue changes or injury, and to systems that imitate or restore the functions of tissues or organs are encouraged. Projects that advance rehabilitation engineering through new theories and approaches are supported by the EBBS program. Fundamental engineering research driven by the needs of persons with disabilities is encouraged. The EBBS program expands what is possible in biomanufacturing; research may advance biotechnology and/or health. EBBS research must enable improved biological processes, create novel biomedical technologies, or achieve new understanding of physiological or pathological processes. EBBS does not support proposals with a main goal of drug design, drug delivery, or the development of animal models of disease. Using existing models for experimental testing and validation is acceptable. Projects that focus on testing and validating therapies are not supported. Clinical trials are not supported. Limited studies involving human volunteers may be supported if appropriate to the project objectives. Projects focused on commercialization are more appropriate for the NSF Directorate for Technology, Innovation, and Partnerships (TIP). Partnerships: To speed discovery and innovation, NSF partners with federal agencies, industry, international groups, and others. Current opportunities are at NSF ENG Partnerships.",posted,2026-04-28,
f7f5692f-7760-439d-9a04-a69de49cb81c,PD-26-367Y,Chemical Process Systems (CPS),NSF,2026-04-24,,,,,,,,https://simpler.grants.gov/opportunity/f7f5692f-7760-439d-9a04-a69de49cb81c,47.041|Engineering,grant,grantsgovsupport@nsf.gov,http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=506547,,"Society relies on chemical processes to turn raw materials into useful products. The Chemical Process Systems (CPS) program invests in fundamental research on chemical and biochemical processes to make them more efficient, sustainable, and resilient. New CPS technologies for manufacturing, biotechnology, critical minerals, energy, food, and other national priorities will help make the U.S. more competitive and secure. Research supported by the CPS program covers the full breadth of chemical and biochemical process innovation. It spans reaction engineering and molecular thermodynamics; reactor design; catalysis; electrochemical systems; separations; and process design. The program encourages proposals that connect the molecular scale to process and plant scales. The CPS program explores active-site structure and function, reaction mechanisms, in situ and operando characterization, durability, and device-level integration. Microreactors, membrane and catalytic reactors, atmospheric plasmas, and other novel configurations are of interest. The program supports research in catalysis and electrochemical systems to produce, use, and store energy, to reduce waste, to process polymers, and to synthesize fuels and chemicals. This includes process and materials innovation to support the nuclear fuel cycle. The CPS program also targets chemical and biological separations that are efficient and scalable. Research includes the design of membranes, sorbents, and specialized interfaces. Advances can be used in gas separations, the recovery of critical minerals, bioprocessing, and protein and water purification. The program supports research in process design and optimization that uses tools such as artificial intelligence, machine learning, and uncertainty quantification. CPS research also explores quantum information science and engineering; quantum simulation and sensing, for example, may accelerate the discovery of materials and improve process models. Partnerships: To speed discovery and innovation, NSF partners with federal agencies, industry, international groups, and others. Current opportunities are at NSF ENG Partnerships.",posted,2026-04-28,
4621556c-019d-4947-837c-c91a080c48c5,PD-26-1341,Professional Formation of Engineers,NSF,2026-04-17,,,,,,,,https://simpler.grants.gov/opportunity/4621556c-019d-4947-837c-c91a080c48c5,47.041|Engineering,grant,grantsgovsupport@nsf.gov,http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=506521,,"The Professional Formation of Engineers (PFE) initiative integrates engineering research and education to improve and expand the nation’s engineering workforce. PFE is defined as the formal and informal processes and value systems by which people become engineers. The goal of PFE is to create an ethical engineering workforce with a global outlook and the ability to adapt to the rapidly evolving technical environment. This will help build a future engineering workforce with the skills to compete in the global marketplace, support emerging technologies, and grow U.S. industry. PFE supports projects in the ENGINEER program relating to future and current engineers’ training and education in many contexts, including formal classrooms, informal maker spaces, clubs and co-curricular activities, and workplaces. Such training encompasses cooperative education and internships, community-based experiences, and research labs. It also involves many scales of analysis, from mentor/mentee relationships to large-scale online learning and professional development experiences. Engineers must develop and maintain these learning opportunities with clear pathways to and through the profession. Such pathways include formal and informal education, apprenticeships, credentialing, and licensure, and consider relationships with other professionals, technical workers, and community members. Finally, such opportunities include transitions across and within academia and industry. To understand and improve this system requires expertise in both engineering and the social sciences.",posted,2026-04-18,
ad2e3bf2-1326-4c49-945c-8f882426c387,20-597,"Arctic Doctoral Dissertation Research Improvement Grants (Arctic DDRIG)  Arctic Social Sciences, Arctic System Sciences, and Arctic Observing Network",NSF,2026-04-14,2026-12-15,,,,1250000,,,https://simpler.grants.gov/opportunity/ad2e3bf2-1326-4c49-945c-8f882426c387,47.050|Geosciences,grant,grantsgovsupport@nsf.gov,http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf20597,,"The National Science Foundation (NSF) invites investigators at U.S. organizations to submit proposals for Doctoral Dissertation Research Improvement Grants (DDRIGs) to the Arctic Sciences Section, Office of Polar Programs (OPP) to conduct dissertation-level research about and related to the Arctic region. The Programs that are currently accepting DDRIG proposals are the Arctic Social Sciences (ASSP), Arctic System Science (ARCSS), and Arctic Observing Network (AON) Programs. The goal of this solicitation is to attract research proposals that advance a fundamental, process, and systems-level understanding of the Arctic's rapidly changing natural environment and social and cultural systems, and, where appropriate, to improve our capacity to project future change. The Arctic Sciences Section supports research focused on the Arctic region and its connectivity with lower latitudes. The scientific scope is aligned with, but not limited to, research challenges outlined in the Interagency Arctic Research Policy Committee’s five-year Arctic research plan (https://www.nsf.gov/geo/opp/arctic/iarpc/start.jsp). Given that this solicitation is designed to support early career scientists, this Program will also advance research capacity in Arctic sciences, promote workforce development in Science, Technology, Engineering, and Math (STEM). The Arctic Sciences Section coordinates with programs across NSF and with other federal and international partners to co-review and co-fund Arctic proposals as appropriate. The Arctic Sciences Section also maintains Arctic logistical infrastructure and field support capabilities that are available to enable research.",posted,2026-06-24,
f892bfb3-ae6b-4b13-8241-93aecc115428,26-507,National Science Foundation Fostering Interdisciplinary Networks to Develop Emergent and Responsive Solutions Foundry,NSF,2026-03-23,2026-11-18,,,,8500000,,,https://simpler.grants.gov/opportunity/f892bfb3-ae6b-4b13-8241-93aecc115428,"47.076|STEM Education (formerly Education and Human Resources) | 47.084|NSF Technology, Innovation, and Partnerships",grant,grantsgovsupport@nsf.gov,http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf26507,,"The NSF FINDERS FOUNDRY program supports collaboration among K-12 educators, technologists, and researchers to develop innovative solutions to persistent challenges in learning and workforce development. These challenges are identified by K-12 students, families, and educators. The program aims to create and scale evidence-based practices, tools, and technologies that improve learning outcomes and prepare students for a digital, Artificial Intelligence (AI)-driven future. A key focus is early exposure to AI to build curiosity, understanding, and readiness for future careers. The program encourages partnerships across sectors - schools, universities, industry, government, and nonprofits - to co-design responsive, technology-based solutions. NSF FINDERS FOUNDRY program includes two phases: Planning and Development. Planning proposals help teams explore one of several focus areas. Only teams awarded Planning grants may submit Development proposals, which support the growth and implementation of promising ideas. The program aligns with national priorities, including the Executive Order 14277, “Advancing Artificial Intelligence Education for American Youth” (April 23, 2025), and the CHIPS and Science Act of 2022, Public Law 117-167, Sections 10381-10383 and 10395.",posted,2026-06-05,
5405aab0-e416-4386-bd4b-88f2f07dbb0a,26-506,Pathways to Enable Secure Open-Source Ecosystems,NSF,2026-02-19,2026-09-01,,,60,40000000,,,https://simpler.grants.gov/opportunity/5405aab0-e416-4386-bd4b-88f2f07dbb0a,"47.049|Mathematical and Physical Sciences | 47.074|Biological Sciences | 47.041|Engineering | 47.076|STEM Education (formerly Education and Human Resources) | 47.050|Geosciences | 47.084|NSF Technology, Innovation, and Partnerships | 47.070|Computer and Information Science and Engineering | 47.075|Social, Behavioral, and Economic Sciences",grant,grantsgovsupport@nsf.gov,http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf26506,,"The Pathways to Enable Secure Open-Source Ecosystems (PESOSE) program supports the translation of open-source science and engineering-focused research products into safe and sustainable ecosystems that address national and societal challenges. Open-source tools such as software, hardware, machine learning models, languages, and data platforms are designed to be shared as they are publicly-accessible and modifiable. These tools spark innovation in critical fields as varied as artificial intelligence (AI) and cloud computing, banking, healthcare, research, education, next-gen manufacturing, mobility, and National security (including cybersecurity). PESOSE supports the creation of managing organizations for these ecosystems, ensuring strong governance, distributed development, and broad user communities across academia, industry, and government. PESOSE also supports enhancements to the safety, security, and privacy of Open-Source Ecosystems (OSE) by addressing significant vulnerabilities, both technical and socio-technical, to improve the resistance of the ecosystem against threats. This solicitation seeks three types of proposals, allowing teams to propose specific activities to:1) scope and planthe establishment of an OSE, 2)establishand expand a sustainable OSE based on a robust, promising open-source product that meets an emergent societal or national need, and 3) improve the safety, security, and privacy of an existing OSE and its products.",posted,2026-02-20,
26ddba31-5cad-48a7-9b78-ac5a5e15154a,26-504,Postdoctoral Research Fellowships in Biology,NSF,2026-02-05,2026-09-29,,,,16500000,,220000,https://simpler.grants.gov/opportunity/26ddba31-5cad-48a7-9b78-ac5a5e15154a,47.074|Biological Sciences,grant,grantsgovsupport@nsf.gov,http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf26504,,"The integration of Artificial Intelligence (AI) and Biological Research has the potential to pave the way for breakthroughs in biotechnology and bio-system design that will create innovations, new industries, and jobs. To capitalize on this promise, the Directorate for Biological Sciences (BIO) will make awards for Postdoctoral Research Fellowships in Biology (PRFB) to recent doctoral degree recipients, for proposals with a research and training focus at the Intersection of Artificial Intelligence and Biological Sciences to Strengthen and Safeguard Biotechnology Innovations. Applying AI to highly complex biological systems will reveal unknown mechanisms in the natural world that hold promise for technological developments. Candidates with AI and/or biology experience will develop deep expertise in both by proposing additional training in both areas. These combinations of current expertise and new cross-training will produce scientists who work seamlessly at the intersection of AI and biology. The fellows are expected to become field leaders who use AI capabilities to extrapolate from biological data to technological advances. Proposers are encouraged to consider how to leverage the nation’s diversity of existing biological data, and biological infrastructure, such as Biofoundries, Programmable Cloud Labs, Manufacturing USA Institutes, and NEON, to accelerate discovery, innovation and the biotechnology that improves human lives, promotes the U.S. economy, and benefits the nation.",posted,2026-02-06,
25d22ed0-f1fe-4c46-a5b6-0ab60a464f00,26-501,Collaboratory to Advance Mathematics Education and Learning (CAMEL) for K-12,NSF,2025-12-12,,,,7,9000000,1500000,1000000,https://simpler.grants.gov/opportunity/25d22ed0-f1fe-4c46-a5b6-0ab60a464f00,"47.075|Social, Behavioral, and Economic Sciences",grant,grantsgovsupport@nsf.gov,http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf26501,,"The Collaboratory to Advance Mathematics Education and Learning (CAMEL) for K-12 initiative aims to advance mathematics learning and education through purposeful collaboration that draws on the interdisciplinary Science of Learning (including neuroscience; cognitive, developmental, and social sciences; computer science; machine learning; engineering; and education research), deep experiences in education practice and teaching, and innovations in the use of data science, AI and technology. Through an agreement with philanthropic partners, including the Walton Family Foundation (WFF), CAMEL consists of two phases. Phase I invites proposals for the creation of new research networks to support the generation of high value datasets that aim to advance math learning and education. These research networks must include researchers who study the basic science of learning, education practitioners, and data scientists. The high value dataset may come from either generating a new dataset or by increasing the value of an existing dataset. Phase II, open only to awardees of Phase I, establishes a “collaboratory,” which is a socio-technological platform that prioritizes community-building and capacity-building to sustain collaborative efforts to advance math learning and education in K-12. Expanding Participation in STEM, NSF Priorities and Gold Standard Science: NSF prioritizes cutting-edge discovery science and engineering research, advancing technology and innovation, and creating opportunities for all Americans. NSF has established priorities set forth by Congress, the administration and the NSF director to promoteNSF's mission. Proposers should review the list ofNSF prioritiesand are encouraged to align their proposals with them, where appropriate. NSF also expects the highest standards of scientific rigor, integrity and adherence to appropriate tenets ofGold Standard Sciencein proposals, as appropriate for the field of science and research modality.",posted,2025-12-30,
