Notice ID,Title,Solicitation Number,Agency,Department Path,Type,Base Type,Posted Date,Response Deadline,Archive Date,Active,Set Aside,NAICS Code,Classification Code,Contact,UI Link,Description,Update Type
fd5c6361a1454bd5b9cb387d3845d228,Advanced Research Projects Agency for Health (ARPA-H) Small Business Innovation Research (SBIR)/Small Business Technology Transfer (STTR) Program,7599226SN106,ADVANCED RESEARCH PROJECTS AGENCY FOR HEALTH (ARPA-H),"HEALTH AND HUMAN SERVICES, DEPARTMENT OF.NATIONAL INSTITUTES OF HEALTH.ADVANCED RESEARCH PROJECTS AGENCY FOR HEALTH (ARPA-H)",Presolicitation,Presolicitation,2026-09-01,2026-10-01T12:00:00-04:00,2027-09-30,Yes,,541715,AN13,sbir.baa@arpa-h.gov,https://sam.gov/workspace/contract/opp/fd5c6361a1454bd5b9cb387d3845d228/view,"The Advanced Research Projects Agency for Health (ARPA-H) is soliciting proposals from small business concerns (SBCs) that possess the research and development (R&D) expertise to conduct innovative research that will contribute toward ARPA-H mission needs, Small Business Innovation Research (SBIR), and Small Business Technology Transfer (STTR) program objectives. Please see the cover page of the attachment ""SBIR_STTR_BAA_FY26"" for applicable Stage 1 and Stage 2 deadlines for each open topic. Please see the Attachment H ""ARPA-H_SBP_Government_Answered_Questions"" for responses to the Q&A period. The purposes of the SBIR and STTR programs are to: (a) stimulate technological innovation; (b) strengthen the role of small business in meeting Federal research/research & development (R/R&D) needs; (c) foster and encourage participation by socially and economically disadvantaged small business concerns and women-owned business concerns; and (d) increase private sector commercialization of innovations derived from Federal R/R&D, thereby increasing competition, productivity and economic growth. For purposes of the SBIR and STTR programs, a small business concern is any business concern that, on the date of award, (1) is organized for profit, with a place of business located in the United States, which operates primarily within the United States or which makes a significant contribution to the United States economy through payment of taxes or use of American products, materials or labor; (2) is in the legal form of an individual proprietorship, partnership, limited liability company, corporation, joint venture, association, trust or cooperative, except that where the form is a joint venture, there must be less than 50 percent participation by foreign business entities in the joint venture; (3) more than 50% directly owned and controlled by one or more individuals (who are citizens or permanent resident aliens of the United States), other business concerns (each of which is more than 50% directly owned and controlled by individuals who are citizens or permanent resident aliens of the United States), or any combination of these; OR more than 50% owned by multiple venture capital operating companies, hedge funds, private equity firms, or any combination of these. No single venture capital operating company, hedge fund, or private equity firm may own more than 50% of the concern; AND, (4) has, including its affiliates, no more than 500 employees. Note: This size standard is established by law for the SBIR program, regardless of the NAICS Code assigned. See 13 C.F.R. § 121.702. AMENDMENT 01 - July 8, 2026: Amendment 01 of this solicitation extends the deadline for Stage 1 Solution Summaries from July 10, 2026 to July 17, 2026. This amendment answers conforming questions that were submitted prior to the Q&A deadline via Attachment H. This amendment adds/revises the following soliciation sections: Add change log, revise sections 2.3, 3.1, 3.2, 4.2, 4.3, 4.4, 5.0, 5.4, add section 5.5, revise section 8, topic 6, and topic 7. AMENDMENT 02 - August 17, 2026: Amendment 02 of this solicitation publishes the Stage 2 submission deadline for Topics 01, 02, 03, 04, 06, and 07. This amendment revises language in the following sections: cover page, 2.2, 2.3, 2.4, 2.6, 2.8, and 8. Amendment 02 corresponds with Stage 1 encourage/discourage letter distribution for topics 01, 02, 03, 04, 06, and 07. Please check your email inbox for your Stage 1 encourage/discourage letters on or around August 17, 2026. Topic 05 Stage 1 letters and Stage 2 submission deadline will be distributed at a later date. AMENDMENT 03 - September 1, 2026: Amendment 03 of this solicitation publishes the Stage 2 submission deadline for Topic 05. This amendment revises language in the following sections: cover page and 8. Amendment 03 corresponds with Stage 1 encourage/discourage letter distribution for topic 05. Please check your email inbox for your Stage 1 encourage/discourage letters on or around September 1, 2026. Amendment 03 updates Attachment B Cost Proposal Spreadsheet Template. THE FOLLOWING ARE THE CURRENTLY OPEN RESEARCH TOPICS. PLEASE SEE SECTION 8 OF THE BAA FOR FURTHER INFORMATION ARPA-H 01 - Development of an annual test to inform women about their future fertility - The purpose of this topic is to discover new biomarkers that provide women with actionable data for fertility planning. Results from this work will help inform the program manager regarding the feasibility of future programs focused on enhancing natural fertility before the need of IVF and guiding the development of women’s health monitoring and improvement tools. This work will develop a diagnostic test that can assess fertility status and generate an estimated timeline for the onset of infertility. This topic seeks to develop a test that is affordable, suitable for at least annual use, and provides user-friendly results for patients and care teams to support childbearing decisions. ARPA-H 02 - Versatile Bioadhesives - The purpose of this topic is to develop next-generation bioadhesive platforms that can safely and reliably seal, bond, and repair a wide range of tissues in challenging clinical conditions, including wet, bloody, and mechanically dynamic environments. These platforms may also be designed to deliver biologics or small molecules as part of treatment. The goal is to create bioadhesives with key performance attributes such as strong tissue adhesion, controlled degradation, reversibility, biocompatibility, and broad compatibility across multiple tissues and organs. If successful, this topic could enable widely deployable solutions for hemostasis, leak prevention, tissue repair, and device fixation, ultimately helping reduce complications and improve patient outcomes across many care settings ARPA-H 03 - Universal Platform for Living Adaptive Toxin-removal (UNI-PLAT) - The purpose of this topic area is to catalyze the development of a universal, “plug-and-play” synthetic biology platform that enables next-generation microbial chassis capable of performing a broad array of programmable functions. While this solicitation primarily uses toxin removal as a proof-of-concept in relation to chronic disease management, the platform is intended to be adaptable to a range of challenges across industries such as environmental remediation, biomanufacturing, agriculture, holistic medicine, and therapeutic discovery. The broader goal is to create a stable, reliable, and easily reprogrammable microbial platform that demonstrates potential for cross-sector impact beyond the initial use case. ARPA-H 04 - Breaking Ground: The First Curative, Durable, Non-Surgical Therapy for Endometriosis – The purpose of this topic aims to develop treatments for endometriosis that are non-surgical. Proposers are expected to develop novel, non-surgical therapies to decrease the size or deactivate endometrial implants, to decrease inflammation cause by implants, and / or prevent growth or regrowth of the lesions. Broadly, this should be a novel, non-surgical, curative treatment for endometriosis. ARPA-H 05 - ARPA-H Lineage Topic - The purpose of this topic supports the advancement, commercialization, and translation of technologies that originated from ARPA-H funded efforts. It is intended to help small businesses and startups develop viable products based on these technologies. ARPA-H’s goal is to give small businesses an off-ramp to finish developing their technology/product, explore secondary or interim applications of the technology, and time to achieve self-sufficiency. ARPA-H 06 - Rapid Comprehensive Diagnostic Test for Multi-System Autoimmune Disease -The purpose of this topic is to spur the development of novel, rapid diagnostic assays for multi-system autoimmune disease, which represents an unmet healthcare need. Moreover, in its ideal embodiment this diagnostic test might allow typical primary care physicians to diagnose and predict tissue-specific autoimmune disease manifestations, thereby streamlining referral of the patient to a specialist. This goal is made more feasible by recent technological developments including the ability to detect tissue-specific signatures of immune-mediated stress by assessing circulating cells and/or tissue-specific molecular products. ARPA-H 07 - Virtual Human Brain for the Development of Neurosurgical Robotics - The purpose of this topic aims to take a first step toward AI-assisted intracranial microsurgery by creating a high-resolution, physically and anatomically accurate virtual human brain.",New
7d92d87d2cba4caeb22861d133a9a3a2,Py-GC/MS for Micro- and Nanoplastic Analysis,75N992-26-SS-106,ADVANCED RESEARCH PROJECTS AGENCY FOR HEALTH (ARPA-H),"HEALTH AND HUMAN SERVICES, DEPARTMENT OF.NATIONAL INSTITUTES OF HEALTH.ADVANCED RESEARCH PROJECTS AGENCY FOR HEALTH (ARPA-H)",Sources Sought,Sources Sought,2026-08-24,2026-09-08T15:00:00-04:00,2026-09-23,Yes,,334516,6632,STOMP@arpa-h.gov,https://sam.gov/workspace/contract/opp/7d92d87d2cba4caeb22861d133a9a3a2/view,"The intent of this Sources Sought notice is to gauge industry interest, capabilities, and relevant experience to support Advanced Research Projects Agency for Health (ARPA-H) Health Science Futures Office (HSF) by providing gold-standard Pyrolysis-gas chromatography/mass spectrometry (Py-GC/MS) analysis of micro- and nanoplastics (MNPs) in biological samples, such as blood, urine and tissue. Specifically, ARPA-H is looking for the capability to perform Py-GC/MS analysis of MNPs in biological samples. See attached for sources sought request and response instructions.",New
52f327e1e5ef49aea5fa684551c10f53,"Fast Assessment of Solutions, Therapeutics, Pharmaceuticals, and SupplieS (FASTPASS) Innovative Solutions Opening",ARPA-H-SOL-26-160 ,ADVANCED RESEARCH PROJECTS AGENCY FOR HEALTH (ARPA-H),"HEALTH AND HUMAN SERVICES, DEPARTMENT OF.NATIONAL INSTITUTES OF HEALTH.ADVANCED RESEARCH PROJECTS AGENCY FOR HEALTH (ARPA-H)",Solicitation,Solicitation,2026-08-20,2026-11-10T16:00:00-05:00,2026-11-25,Yes,,541715,AN13,FASTPASS@ARPA-H.GOV,https://sam.gov/workspace/contract/opp/52f327e1e5ef49aea5fa684551c10f53/view,"The Advanced Research Projects Agency for Health (ARPA-H) Fast Assessment of Solutions, Therapeutics, Pharmaceuticals, and SupplieS (FASTPASS) program aims to develop a near real-time, non-destructive, AI-enabled system for screening pharmaceutical products and inputs through their packaging at ports of entry and other supply-chain nodes. Interested parties are invited to review the attached FASTPASS Innovative Solutions Opening, ARPA-H-SOL-26-160.",New
51d2945cf9294847a29cb9ede24411d1,"Fast Assessment of Solutions, Therapeutics, Pharmaceuticals, and SupplieS (FASTPASS) Proposers' Day",ARPA-H-SN-26-160,ADVANCED RESEARCH PROJECTS AGENCY FOR HEALTH (ARPA-H),"HEALTH AND HUMAN SERVICES, DEPARTMENT OF.NATIONAL INSTITUTES OF HEALTH.ADVANCED RESEARCH PROJECTS AGENCY FOR HEALTH (ARPA-H)",Special Notice,Special Notice,2026-08-20,2026-09-04T12:00:00-04:00,2026-09-19,Yes,,541715,AN13,FASTPASS@ARPA-H.GOV,https://sam.gov/workspace/contract/opp/51d2945cf9294847a29cb9ede24411d1/view,"The Scalable Solutions Office (SSO) of the Advanced Research Projects Agency for Health (ARPA-H) is hosting a Proposers’ Day in support of the Innovative Solutions Opening (ISO) for the Fast Assessment of Solutions, Therapeutics, Pharmaceuticals, And SupplieS (FASTPASS) program. The FASTPASS Proposers’ Day will be a one-day hybrid event on Thursday, September 10, 2026, 9:00am-5:00pm Eastern Time (ET). See Special Notice: ARPA-H-SN-26-160 (attached) for further details.",New
5188a174f9fb43ab893473efc2acaf6b,Technology Showcase Facility & Support Services for ARPA-E’s COOLERCHIPS Program,89703026PAR000041,ADVANCED RSRCH PROJ AGENCY ARPA-E,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.ADVANCED RSRCH PROJ AGENCY ARPA-E",Combined Synopsis/Solicitation,Combined Synopsis/Solicitation,2026-09-01,2026-09-15T14:00:00-04:00,2026-09-30,Yes,,541380,X1JB,brandon.beyer@hq.doe.gov,https://sam.gov/workspace/contract/opp/5188a174f9fb43ab893473efc2acaf6b/view,"You are invited to submit a quote in response to this RFQ. RFQ Objective: The Contractor will provide host site operations and support services necessary for ARPA-E to conduct the COOLERCHIPS Technology Program. The Contractor shall provide the facilities, utilities, infrastructure, engineering support, and logistical support necessary to support the technology showcase throughout the period of performance. See the following attachments for more details pertaining to this RFQ: 1. RFQ Details 2. Attachment 1 - SOW 3. Attachment 2 - Pricing Worksheet 4. Attachment 3 - Terms & Conditions",New
78df6ecf7b59423ab6259eb054fbd02a,Award Notice – Technology Commercialization and Market Intelligence Platform  BPA,89703026AAR000002,ADVANCED RSRCH PROJ AGENCY ARPA-E,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.ADVANCED RSRCH PROJ AGENCY ARPA-E",Award Notice,Special Notice,2026-08-26,,2026-09-10,Yes,,513210,DA10,anthony.giannetti@hq.doe.gov,https://sam.gov/workspace/contract/opp/78df6ecf7b59423ab6259eb054fbd02a/view,"The U.S. Department of Energy, Advanced Research Projects Agency-Energy (ARPA-E), has awarded Blanket Purchase Agreement 89703026AAR000002 to Currence for a web-based Technology Commercialization and Market Intelligence Platform. The BPA was awarded on a sole-source basis following publication of a Notice of Intent to Sole Source. The Government received no additional capability statements demonstrating the ability to satisfy the requirement. A redacted copy of the approved Justification for Other Than Full and Open Competition is attached in accordance with applicable FAR public posting requirements.",New
ef70f20baa10408da074843dfbc8cb9f,Notice of Intent to Award a Sole Source Contract - Parking Garage Services,HR001126QE004,DEF ADVANCED RESEARCH PROJECTS AGCY,DEPT OF DEFENSE.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).DEF ADVANCED RESEARCH PROJECTS AGCY,Special Notice,Special Notice,2026-09-02,2026-09-17T12:00:00-04:00,2026-10-02,Yes,,812930,X1PZ,stclair.larry@darpa.mil,https://sam.gov/workspace/contract/opp/ef70f20baa10408da074843dfbc8cb9f/view,"1. Action Description The Defense Advanced Research Projects Agency (DARPA) intends to award a sole-source firm-fixed-price contract to Arlington VA I FGF LLC, Chicago IL, the owner and lessor of the property located at 675 N. Randolph Street in Arlington, Virginia, to provide secure, controlled parking and related facility support services for the below-grade structed parking garage directly beneath DARPA Headquarters. 2. Background and Scope of Services DARPA requires continued control of the below-grade structured parking garage located at 675 N. Randolph Street. The garage is physically integrated with and located directly beneath the DARPA Headquarters facility. The Contractor will be required to provide comprehensive facility support services necessary to maintain the garage in a safe, operational, and secure condition. These services may include structural maintenance; mechanical, ventilation, and related building system support; fire and life-safety system support; emergency infrastructure support; compliance with Department of War below-grade, structured parking garage at 675 North Randolph Street, Arlington, VA, to ensure a fully secure and operational exclusive-use parking facility for DARPA. Historically, parking and associated access-control capabilities were included within the master building lease managed by Washington Headquarters Services (WHS). As a result of changes to the WHS leasing structure, these requirements will no longer be included in the master lease. Therefore, DARPA intends to independently procure the services necessary to maintain control of the below-grade parking area and support the physical-security requirements of its headquarters facility. 3. Authority and Basis for the Proposed Sole Source Acquisition This proposed acquisition is being conducted under the authority of 10 U.S.C. § 3204(a)(1) (formerly 10 U.S.C. § 2304(c)(1)), as implemented by FAR 6.103-1, ""Only One Responsible Source and No Other Supplies or Services Will Satisfy Agency Requirements."" DARPA’s market research identified numerous commercial parking facilities in Arlington, Virginia that can provide general commercial parking. However, the Government has not identified an alternative facility capable of satisfying all of the following requirements: Unique Physical Location and Integration. The required parking facility is physically integrated with and located directly beneath DARPA Headquarters at 675 N. Randolph Street. No other commercial parking facility can provide the same physical relationship to the DARPA facility. Physical Security and Access Control. DARPA requires controlled vehicle access to the below-grade parking area to support the physical security requirements applicable to the Agency headquarters facility. For instance, in accordance with Department of Defense (currently Department of War (DoW)) Unified Facilities Criteria (UFC) 4-010-01 (DoD Minimum Antiterrorism Standards for Buildings), access control to subterranean structures directly beneath DoW offices is a critical security vulnerability. Proprietary Rights and Building Systems. The Government requires access to the garage and the building systems integral to its operation, including structural, ventilation, mechanical, and fire and life safety systems that support the garage. Arlington VA I FGF, LLC owns and controls the property where the garage facility is located. Because those rights and systems are controlled by the property owner, another source could not independently provide the Government with exclusive rights to the same facility without authorization from the owner. Continuity of Operations. DARPA requires a transition that does not create an interruption in the physical security and access control measures supporting DARPA Headquarters. 4. Determination DARPA has determined that Arlington VA I FGF, LLC is the only responsible source capable of providing the required services, and no other type of services will satisfy all the Agency’s requirements because: The Government’s requirement extends beyond obtaining parking spaces in the Arlington, Virgina area. An alternative, off-site parking facility would not provide the Government with control of the area directly beneath DARPA Headquarters or eliminate the Government’s continuing requirement to maintain appropriate physical security controls over that area. Unrestricted or uncontrolled commercial use of the area directly beneath the headquarters could adversely affect the physical-security posture of the facility. Maintaining the existing below-grade parking facility avoids the operational and security disruption that could result from attempting to relocate the parking function while simultaneously maintaining control of the area directly beneath the headquarters. 5. Notice to Interested Sources This notice is not a request for competitive proposals. It is issued to determine whether any responsible sources can demonstrate their capability to satisfy the Government’s complete requirement and provide a basis for the Government to reconsider the contemplated sole-source acquisition. Interested sources are invited to submit a capability statement, proposal, or quotation demonstration, with objective and specific information, their ability to satisfy all of the Government’s requirements. The ability to provide ordinary commercial parking spaces at another Arlington, Virginia location, standing alone, will not satisfy the requirement. A response should address, at a minimum, the following: Physical and Legal Access. Legal authority and practical ability to obtain the rights necessary to provide exclusive and controlled use of, and perform the required services within, the below-grade parking facility directly beneath 675 North Randolph Street in Arlington, Virginia. Security and Access Control. Ability to satisfy the Government’s physical security and controlled access requirements applicable to the below-grade parking facility, including applicable Department of War requirements, such as compliance with DoD Unified Facilities Criteria (UFC) 4-010-01 for subterranean facility access control. Continuity of Operations. Ability to provide uninterrupted services during transition and throughout contract performance without compromising DARPA’s physical security requirements. Organizational Capability. Identify relevant experience, technical capabilities, facilities, personnel, and other resources demonstrating ability to perform the required services. System for Award Management (SAM) Registration. Provide documentation of current registration in SAM, including a valid Unique Entity ID (UEI) and CAGE code, as applicable. Interested sources should submit a capability statement addressing the requirements identified above to the Primary and Secondary points of contact listed above no later than the Response Deadline. Generic statements of interest or statements that merely demonstrate an ability to provide commercial parking services will not be sufficient. The Government will consider all timely and substantive responses solely for the purpose of determining whether to conduct a competitive procurement. A determination by the Government not to compete the contemplated contract action, based on responses to this notice or otherwise, will be within the Government’s discretion and consistent with applicable acquisition laws and regulations. The Government is not responsible for costs incurred by interested sources in preparing or submitting responses to this notice.",New
afd39cd6fa664344a80aa80c9f9c98b6,Next Generation Hypersonic Cruise Missile Industry Day,DARPA-SN-26-120,DEF ADVANCED RESEARCH PROJECTS AGCY,DEPT OF DEFENSE.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).DEF ADVANCED RESEARCH PROJECTS AGCY,Special Notice,Special Notice,2026-09-02,2026-09-16T17:00:00,2026-12-31,Yes,,541715,AC13,NGHCMIndustryDay@darpa.mil,https://sam.gov/workspace/contract/opp/afd39cd6fa664344a80aa80c9f9c98b6/view,The Defense Advanced Research Projects Agency (DARPA) Tactical Technology Office (TTO) will host an Industry Day to brief potential proposers on the objectives of a future Next Generation Hypersonic Cruise Missile (NGHCM) program. This event precedes the planned release of a Program Solicitation (PS). Advance registration is required to attend.,New
4fd2c50881d14632ab44449c3964027c,Information Processing Techniques Office Office-Wide,HR001126S0011,DEF ADVANCED RESEARCH PROJECTS AGCY,DEPT OF DEFENSE.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).DEF ADVANCED RESEARCH PROJECTS AGCY,Solicitation,Solicitation,2026-09-02,2027-06-22T14:00:00,2027-07-22,Yes,,541715,AC15,HR001126S0011@darpa.mil,https://sam.gov/workspace/contract/opp/4fd2c50881d14632ab44449c3964027c/view,This Broad Agency Announcement (BAA) seeks revolutionary research ideas for topics not being addressed by ongoing IPTO programs or other published solicitations. Potential proposers are highly encouraged to visit the IPTO technical office page (https://www.darpa.mil/about/offices/ipto) to view current and upcoming IPTO programs and solicitations in order to avoid proposing efforts that duplicate existing activities or that are responsive to other published IPTO solicitations.,New
d718431bda534b46a968227b82457e4b,Perrseus,DARPA-PS-26-127,DEF ADVANCED RESEARCH PROJECTS AGCY,DEPT OF DEFENSE.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).DEF ADVANCED RESEARCH PROJECTS AGCY,Solicitation,Solicitation,2026-09-01,2026-09-23T13:00:00,2026-10-24,Yes,,541715,AC12,Perrseus@darpa.mil,https://sam.gov/workspace/contract/opp/d718431bda534b46a968227b82457e4b/view,The Defense Advanced Research Projects Agency (DARPA) is soliciting innovative proposals that enable compact cold-atom devices and environmentally-decoupled ultra-high Q microelectromechanical (MEMS) and photonics devices through microscale ultra-high-vacuum systems (µUHV).,New
